==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0032732   positive regulation of interleukin-1 production           4      82     12.3  3.8e-04    1.0e-03
GO:0046824   positive regulation of nucleocytoplasmic transport        4      82     12.3  3.8e-04    1.0e-03
GO:0043087   regulation of GTPase activity                             5     150      8.4  3.9e-04    1.0e-03
GO:0001773   myeloid dendritic cell activation                         3      33     22.9  3.9e-04    1.0e-03
GO:0030212   hyaluronan metabolic process                              3      33     22.9  3.9e-04    1.0e-03
GO:0042634   regulation of hair cycle                                  3      33     22.9  3.9e-04    1.0e-03
GO:2000108   positive regulation of leukocyte apoptotic process        3      33     22.9  3.9e-04    1.0e-03
GO:0042176   regulation of protein catabolic process                   8     437      4.6  4.0e-04    1.0e-03
GO:0006022   aminoglycan metabolic process                             4      83     12.1  4.0e-04    1.0e-03
GO:0070373   negative regulation of ERK1 and ERK2 cascade              4      83     12.1  4.0e-04    1.0e-03
GO:0046822   regulation of nucleocytoplasmic transport                 5     152      8.3  4.1e-04    1.1e-03
GO:0071384   cellular response to corticosteroid stimulus              4      84     12.0  4.2e-04    1.1e-03
GO:0097696   cell surface receptor signaling pathway via STAT          4      84     12.0  4.2e-04    1.1e-03
GO:0045637   regulation of myeloid cell differentiation                6     237      6.4  4.2e-04    1.1e-03
GO:0007160   cell-matrix adhesion                                      5     153      8.2  4.2e-04    1.1e-03
GO:0002825   regulation of T-helper 1 type immune response             3      34     22.2  4.3e-04    1.1e-03
GO:0007405   neuroblast proliferation                                  3      34     22.2  4.3e-04    1.1e-03
GO:0030878   thyroid gland development                                 3      34     22.2  4.3e-04    1.1e-03
GO:0034698   response to gonadotropin                                  3      34     22.2  4.3e-04    1.1e-03
GO:0048535   lymph node development                                    3      34     22.2  4.3e-04    1.1e-03
GO:0051894   positive regulation of focal adhesion assembly            3      34     22.2  4.3e-04    1.1e-03
GO:0003012   muscle system process                                     7     335      5.3  4.3e-04    1.1e-03
GO:0045621   positive regulation of lymphocyte differentiation         5     154      8.2  4.3e-04    1.1e-03
GO:0120161   regulation of cold-induced thermogenesis                  5     154      8.2  4.3e-04    1.1e-03
GO:0006874   intracellular calcium ion homeostasis                     6     239      6.3  4.4e-04    1.1e-03
GO:0009894   regulation of catabolic process                          13    1098      3.0  4.5e-04    1.1e-03
GO:0003085   negative regulation of systemic arterial blood pressur    3      35     21.6  4.6e-04    1.2e-03
GO:0016048   detection of temperature stimulus                         3      35     21.6  4.6e-04    1.2e-03
GO:0032570   response to progesterone                                  3      35     21.6  4.6e-04    1.2e-03
GO:0043129   surfactant homeostasis                                    3      35     21.6  4.6e-04    1.2e-03
GO:0048665   neuron fate specification                                 3      35     21.6  4.6e-04    1.2e-03
GO:0061003   positive regulation of dendritic spine morphogenesis      3      35     21.6  4.6e-04    1.2e-03
GO:0071392   cellular response to estradiol stimulus                   3      35     21.6  4.6e-04    1.2e-03
GO:0071634   regulation of transforming growth factor beta producti    3      35     21.6  4.6e-04    1.2e-03
GO:0099172   presynapse organization                                   3      35     21.6  4.6e-04    1.2e-03
GO:0045619   regulation of lymphocyte differentiation                  6     242      6.2  4.7e-04    1.2e-03
GO:0071347   cellular response to interleukin-1                        4      87     11.6  4.8e-04    1.2e-03
GO:0014902   myotube differentiation                                   4      88     11.4  5.0e-04    1.2e-03
GO:0002701   negative regulation of production of molecular mediato    3      36     21.0  5.0e-04    1.2e-03
GO:0045686   negative regulation of glial cell differentiation         3      36     21.0  5.0e-04    1.2e-03
GO:0032369   negative regulation of lipid transport                    3      37     20.4  5.4e-04    1.3e-03
GO:0048048   embryonic eye morphogenesis                               3      37     20.4  5.4e-04    1.3e-03
GO:1901699   cellular response to nitrogen compound                   10     702      3.6  5.4e-04    1.3e-03
GO:0031349   positive regulation of defense response                   9     576      3.9  5.4e-04    1.3e-03
GO:0032368   regulation of lipid transport                             5     162      7.8  5.4e-04    1.4e-03
GO:0120032   regulation of plasma membrane bounded cell projection     6     250      6.0  5.5e-04    1.4e-03
GO:0046530   photoreceptor cell differentiation                        4      91     11.1  5.6e-04    1.4e-03
GO:1903038   negative regulation of leukocyte cell-cell adhesion       5     164      7.7  5.7e-04    1.4e-03
GO:0033002   muscle cell proliferation                                 3      38     19.9  5.8e-04    1.4e-03
GO:0060491   regulation of cell projection assembly                    6     252      6.0  5.8e-04    1.4e-03
GO:0001960   negative regulation of cytokine-mediated signaling pat    4      92     10.9  5.8e-04    1.4e-03
GO:0060998   regulation of dendritic spine development                 4      92     10.9  5.8e-04    1.4e-03
GO:0033157   regulation of intracellular protein transport             5     166      7.6  6.0e-04    1.5e-03
GO:0071356   cellular response to tumor necrosis factor                5     166      7.6  6.0e-04    1.5e-03
GO:0050672   negative regulation of lymphocyte proliferation           4      93     10.8  6.1e-04    1.5e-03
GO:0048871   multicellular organismal-level homeostasis               11     848      3.3  6.1e-04    1.5e-03
GO:0008104   intracellular protein localization                       17    1762      2.4  6.2e-04    1.5e-03
GO:0008625   extrinsic apoptotic signaling pathway via death domain    3      39     19.4  6.2e-04    1.5e-03
GO:0048169   regulation of long-term neuronal synaptic plasticity      3      39     19.4  6.2e-04    1.5e-03
GO:0055017   cardiac muscle tissue growth                              3      39     19.4  6.2e-04    1.5e-03
GO:0007584   response to nutrient                                      5     167      7.5  6.2e-04    1.5e-03
GO:0019722   calcium-mediated signaling                                5     167      7.5  6.2e-04    1.5e-03
GO:0032945   negative regulation of mononuclear cell proliferation     4      94     10.7  6.3e-04    1.5e-03
GO:0043434   response to peptide hormone                               8     469      4.3  6.3e-04    1.5e-03
GO:0007519   skeletal muscle tissue development                        5     168      7.5  6.4e-04    1.6e-03
GO:0009749   response to glucose                                       5     169      7.4  6.5e-04    1.6e-03
GO:0006810   transport                                                28    3759      1.9  6.6e-04    1.6e-03
GO:0030099   myeloid cell differentiation                              7     360      4.9  6.6e-04    1.6e-03
GO:0007276   gamete generation                                        12     997      3.0  6.6e-04    1.6e-03
GO:0060761   negative regulation of response to cytokine stimulus      4      96     10.5  6.8e-04    1.6e-03
GO:0007224   smoothened signaling pathway                              4      97     10.4  7.1e-04    1.7e-03
GO:0060351   cartilage development involved in endochondral bone mo    3      41     18.4  7.1e-04    1.7e-03
GO:0150117   positive regulation of cell-substrate junction organiz    3      41     18.4  7.1e-04    1.7e-03
GO:0030003   intracellular monoatomic cation homeostasis               8     480      4.2  7.3e-04    1.8e-03
GO:0009746   response to hexose                                        5     174      7.2  7.4e-04    1.8e-03
GO:0010874   regulation of cholesterol efflux                          3      42     18.0  7.6e-04    1.8e-03
GO:0097061   dendritic spine organization                              3      42     18.0  7.6e-04    1.8e-03
GO:0099560   synaptic membrane adhesion                                3      42     18.0  7.6e-04    1.8e-03
GO:0070664   negative regulation of leukocyte proliferation            4     100     10.1  7.9e-04    1.9e-03
GO:0002274   myeloid leukocyte activation                              5     177      7.1  8.0e-04    1.9e-03
GO:0045445   myoblast differentiation                                  3      43     17.6  8.1e-04    1.9e-03
GO:0045672   positive regulation of osteoclast differentiation         3      43     17.6  8.1e-04    1.9e-03
GO:0007156   homophilic cell-cell adhesion                             5     178      7.1  8.2e-04    2.0e-03
GO:0099536   synaptic signaling                                        8     489      4.1  8.2e-04    2.0e-03
GO:0006873   intracellular monoatomic ion homeostasis                  8     490      4.1  8.3e-04    2.0e-03
GO:0010762   regulation of fibroblast migration                        3      44     17.2  8.6e-04    2.0e-03
GO:0021955   central nervous system neuron axonogenesis                3      44     17.2  8.6e-04    2.0e-03
GO:0097028   dendritic cell differentiation                            3      44     17.2  8.6e-04    2.0e-03
GO:0006029   proteoglycan metabolic process                            4     103      9.8  8.8e-04    2.1e-03
GO:0090316   positive regulation of intracellular protein transport    4     103      9.8  8.8e-04    2.1e-03
GO:0010639   negative regulation of organelle organization             7     379      4.6  8.8e-04    2.1e-03
GO:0002708   positive regulation of lymphocyte mediated immunity       5     182      6.9  9.0e-04    2.1e-03
GO:0120162   positive regulation of cold-induced thermogenesis         4     104      9.7  9.1e-04    2.1e-03
GO:0060419   heart growth                                              3      45     16.8  9.2e-04    2.2e-03
GO:1902175   regulation of oxidative stress-induced intrinsic apopt    3      45     16.8  9.2e-04    2.2e-03
GO:0009266   response to temperature stimulus                          5     183      6.9  9.3e-04    2.2e-03
GO:0060538   skeletal muscle organ development                         5     183      6.9  9.3e-04    2.2e-03
GO:0072657   protein localization to membrane                          7     383      4.6  9.4e-04    2.2e-03
GO:0071346   cellular response to type II interferon                   4     105      9.6  9.4e-04    2.2e-03
GO:0048854   brain morphogenesis                                       3      46     16.4  9.7e-04    2.3e-03
GO:0048872   homeostasis of number of cells                            7     387      4.6  9.9e-04    2.3e-03
GO:0070555   response to interleukin-1                                 4     109      9.2  1.1e-03    2.5e-03
GO:0050714   positive regulation of protein secretion                  5     191      6.6  1.1e-03    2.6e-03
GO:0007268   chemical synaptic transmission                            7     396      4.4  1.1e-03    2.6e-03
GO:0098916   anterograde trans-synaptic signaling                      7     396      4.4  1.1e-03    2.6e-03
GO:0071214   cellular response to abiotic stimulus                     7     397      4.4  1.1e-03    2.7e-03
GO:0104004   cellular response to environmental stimulus               7     397      4.4  1.1e-03    2.7e-03
GO:0042462   eye photoreceptor cell development                        3      49     15.4  1.2e-03    2.7e-03
GO:0045839   negative regulation of mitotic nuclear division           3      49     15.4  1.2e-03    2.7e-03
GO:2000463   positive regulation of excitatory postsynaptic potenti    3      49     15.4  1.2e-03    2.7e-03
GO:0034612   response to tumor necrosis factor                         5     193      6.5  1.2e-03    2.7e-03
GO:0045834   positive regulation of lipid metabolic process            5     193      6.5  1.2e-03    2.7e-03
GO:1905952   regulation of lipid localization                          5     193      6.5  1.2e-03    2.7e-03
GO:0043627   response to estrogen                                      4     114      8.8  1.3e-03    2.9e-03
GO:0045913   positive regulation of carbohydrate metabolic process     4     114      8.8  1.3e-03    2.9e-03
GO:2001243   negative regulation of intrinsic apoptotic signaling p    4     114      8.8  1.3e-03    2.9e-03
GO:1903522   regulation of blood circulation                           6     295      5.1  1.3e-03    2.9e-03
GO:0002437   inflammatory response to antigenic stimulus               3      51     14.8  1.3e-03    2.9e-03
GO:0006275   regulation of DNA replication                             4     115      8.8  1.3e-03    3.0e-03
GO:0002686   negative regulation of leukocyte migration                3      52     14.5  1.4e-03    3.1e-03
GO:0014896   muscle hypertrophy                                        3      53     14.2  1.4e-03    3.2e-03
GO:0045058   T cell selection                                          3      53     14.2  1.4e-03    3.2e-03
GO:0070229   negative regulation of lymphocyte apoptotic process       3      53     14.2  1.4e-03    3.2e-03
GO:0009895   negative regulation of catabolic process                  7     416      4.2  1.5e-03    3.4e-03
GO:0010543   regulation of platelet activation                         3      54     14.0  1.5e-03    3.4e-03
GO:0032715   negative regulation of interleukin-6 production           3      54     14.0  1.5e-03    3.4e-03
GO:0048873   homeostasis of number of cells within a tissue            3      54     14.0  1.5e-03    3.4e-03
GO:1902622   regulation of neutrophil migration                        3      54     14.0  1.5e-03    3.4e-03
GO:0071375   cellular response to peptide hormone stimulus             6     305      4.9  1.5e-03    3.4e-03
GO:0019953   sexual reproduction                                      13    1256      2.6  1.5e-03    3.4e-03
GO:0045581   negative regulation of T cell differentiation             3      55     13.7  1.6e-03    3.5e-03
GO:0035094   response to nicotine                                      3      56     13.5  1.7e-03    3.7e-03
GO:0051234   establishment of localization                            28    4004      1.8  1.7e-03    3.9e-03
GO:1904035   regulation of epithelial cell apoptotic process           3      57     13.2  1.8e-03    3.9e-03
GO:0043122   regulation of canonical NF-kappaB signal transduction     6     315      4.8  1.8e-03    3.9e-03
GO:0010828   positive regulation of D-glucose transmembrane transpo    3      58     13.0  1.8e-03    4.1e-03
GO:0045124   regulation of bone resorption                             3      58     13.0  1.8e-03    4.1e-03
GO:0051489   regulation of filopodium assembly                         3      58     13.0  1.8e-03    4.1e-03
GO:0106027   neuron projection organization                            3      58     13.0  1.8e-03    4.1e-03
GO:0043123   positive regulation of canonical NF-kappaB signal tran    5     216      5.8  1.9e-03    4.2e-03
GO:0031646   positive regulation of nervous system process             3      59     12.8  1.9e-03    4.2e-03
GO:0042113   B cell activation                                         5     218      5.8  2.0e-03    4.3e-03
GO:0021587   cerebellum morphogenesis                                  3      60     12.6  2.0e-03    4.4e-03
GO:0043114   regulation of vascular permeability                       3      60     12.6  2.0e-03    4.4e-03
GO:0006109   regulation of carbohydrate metabolic process              5     220      5.7  2.0e-03    4.5e-03
GO:0002639   positive regulation of immunoglobulin production          3      61     12.4  2.1e-03    4.6e-03
GO:0014014   negative regulation of gliogenesis                        3      61     12.4  2.1e-03    4.6e-03
GO:0048538   thymus development                                        3      61     12.4  2.1e-03    4.6e-03
GO:1905953   negative regulation of lipid localization                 3      61     12.4  2.1e-03    4.6e-03
GO:0050764   regulation of phagocytosis                                4     133      7.6  2.2e-03    4.7e-03
GO:0042391   regulation of membrane potential                          8     572      3.5  2.2e-03    4.8e-03
GO:0045880   positive regulation of smoothened signaling pathway       3      62     12.2  2.2e-03    4.8e-03
GO:0051209   release of sequestered calcium ion into cytosol           3      62     12.2  2.2e-03    4.8e-03
GO:0051784   negative regulation of nuclear division                   3      62     12.2  2.2e-03    4.8e-03
GO:0060711   labyrinthine layer development                            3      62     12.2  2.2e-03    4.8e-03
GO:1900271   regulation of long-term synaptic potentiation             3      62     12.2  2.2e-03    4.8e-03
GO:0001933   negative regulation of protein phosphorylation            5     224      5.6  2.2e-03    4.8e-03
GO:0021575   hindbrain morphogenesis                                   3      64     11.8  2.4e-03    5.2e-03
GO:0002709   regulation of T cell mediated immunity                    4     137      7.3  2.4e-03    5.2e-03
GO:0030316   osteoclast differentiation                                3      65     11.6  2.5e-03    5.4e-03
GO:0045620   negative regulation of lymphocyte differentiation         3      65     11.6  2.5e-03    5.4e-03
GO:0031334   positive regulation of protein-containing complex asse    5     231      5.4  2.5e-03    5.4e-03
GO:0043254   regulation of protein-containing complex assembly         7     459      3.8  2.6e-03    5.5e-03
GO:0034341   response to type II interferon                            4     140      7.2  2.6e-03    5.6e-03
GO:0032371   regulation of sterol transport                            3      66     11.4  2.6e-03    5.6e-03
GO:0032374   regulation of cholesterol transport                       3      66     11.4  2.6e-03    5.6e-03
GO:0032653   regulation of interleukin-10 production                   3      66     11.4  2.6e-03    5.6e-03
GO:0033036   macromolecule localization                               18    2202      2.1  2.7e-03    5.8e-03
GO:0030282   bone mineralization                                       3      67     11.3  2.7e-03    5.8e-03
GO:0050776   regulation of immune response                            12    1182      2.6  2.7e-03    5.8e-03
GO:0001961   positive regulation of cytokine-mediated signaling pat    3      68     11.1  2.8e-03    6.0e-03
GO:0046850   regulation of bone remodeling                             3      68     11.1  2.8e-03    6.0e-03
GO:0051588   regulation of neurotransmitter transport                  4     144      7.0  2.9e-03    6.1e-03
GO:0071456   cellular response to hypoxia                              4     144      7.0  2.9e-03    6.1e-03
GO:0046883   regulation of hormone secretion                           6     348      4.3  2.9e-03    6.1e-03
GO:0097306   cellular response to alcohol                              4     146      6.9  3.0e-03    6.4e-03
GO:0120034   positive regulation of plasma membrane bounded cell pr    4     146      6.9  3.0e-03    6.4e-03
GO:0045776   negative regulation of blood pressure                     3      70     10.8  3.1e-03    6.5e-03
GO:0042461   photoreceptor cell development                            3      71     10.6  3.2e-03    6.7e-03
GO:0060999   positive regulation of dendritic spine development        3      71     10.6  3.2e-03    6.7e-03
GO:0042326   negative regulation of phosphorylation                    5     245      5.1  3.2e-03    6.7e-03
GO:0002244   hematopoietic progenitor cell differentiation             4     149      6.8  3.2e-03    6.8e-03
GO:0034763   negative regulation of transmembrane transport            4     149      6.8  3.2e-03    6.8e-03
GO:0050868   negative regulation of T cell activation                  4     149      6.8  3.2e-03    6.8e-03
GO:0032388   positive regulation of intracellular transport            4     151      6.7  3.4e-03    7.1e-03
GO:0061844   antimicrobial humoral immune response mediated by anti    4     151      6.7  3.4e-03    7.1e-03
GO:0001954   positive regulation of cell-matrix adhesion               3      73     10.3  3.4e-03    7.1e-03
GO:0042058   regulation of epidermal growth factor receptor signali    3      73     10.3  3.4e-03    7.1e-03
GO:0045600   positive regulation of fat cell differentiation           3      73     10.3  3.4e-03    7.1e-03
GO:0046324   regulation of D-glucose import across plasma membrane     3      73     10.3  3.4e-03    7.1e-03
GO:0002761   regulation of myeloid leukocyte differentiation           4     152      6.6  3.5e-03    7.2e-03
GO:0006897   endocytosis                                               7     486      3.6  3.5e-03    7.3e-03
GO:0010656   negative regulation of muscle cell apoptotic process      3      74     10.2  3.6e-03    7.4e-03
GO:0060760   positive regulation of response to cytokine stimulus      3      74     10.2  3.6e-03    7.4e-03
GO:0045936   negative regulation of phosphate metabolic process        5     253      5.0  3.7e-03    7.6e-03
GO:0001541   ovarian follicle development                              3      75     10.1  3.7e-03    7.7e-03
GO:0031341   regulation of cell killing                                4     155      6.5  3.7e-03    7.7e-03
GO:0050792   regulation of viral process                               4     156      6.5  3.8e-03    7.8e-03
GO:0071383   cellular response to steroid hormone stimulus             4     156      6.5  3.8e-03    7.8e-03
GO:0032868   response to insulin                                       5     259      4.9  4.1e-03    8.3e-03
GO:0098815   modulation of excitatory postsynaptic potential           3      78      9.7  4.1e-03    8.4e-03
GO:0001894   tissue homeostasis                                        5     262      4.8  4.3e-03    8.7e-03
GO:0060249   anatomical structure homeostasis                          5     262      4.8  4.3e-03    8.7e-03
GO:1901184   regulation of ERBB signaling pathway                      3      80      9.4  4.4e-03    9.0e-03
GO:0030199   collagen fibril organization                              3      81      9.3  4.6e-03    9.3e-03
GO:2000514   regulation of CD4-positive, alpha-beta T cell activati    3      81      9.3  4.6e-03    9.3e-03
GO:0034764   positive regulation of transmembrane transport            5     267      4.7  4.6e-03    9.3e-03
GO:0051279   regulation of release of sequestered calcium ion into     3      82      9.2  4.7e-03    9.6e-03
GO:0045428   regulation of nitric oxide biosynthetic process           3      83      9.1  4.9e-03    9.8e-03
GO:0060048   cardiac muscle contraction                                3      83      9.1  4.9e-03    9.8e-03
GO:1904894   positive regulation of receptor signaling pathway via     3      83      9.1  4.9e-03    9.8e-03
GO:0090276   regulation of peptide hormone secretion                   5     274      4.6  5.1e-03    1.0e-02
GO:0045069   regulation of viral genome replication                    3      85      8.9  5.2e-03    1.0e-02
GO:0007281   germ cell development                                     7     525      3.4  5.3e-03    1.1e-02
GO:0070507   regulation of microtubule cytoskeleton organization       4     172      5.9  5.3e-03    1.1e-02
GO:0045995   regulation of embryonic development                       3      86      8.8  5.4e-03    1.1e-02
GO:0048168   regulation of neuronal synaptic plasticity                3      86      8.8  5.4e-03    1.1e-02
GO:0036294   cellular response to decreased oxygen levels              4     173      5.8  5.4e-03    1.1e-02
GO:0080164   regulation of nitric oxide metabolic process              3      87      8.7  5.5e-03    1.1e-02
GO:0002791   regulation of peptide secretion                           5     280      4.5  5.6e-03    1.1e-02
GO:0002704   negative regulation of leukocyte mediated immunity        3      88      8.6  5.7e-03    1.1e-02
GO:0032757   positive regulation of interleukin-8 production           3      88      8.6  5.7e-03    1.1e-02
GO:0090087   regulation of peptide transport                           5     282      4.5  5.8e-03    1.1e-02
GO:1990778   protein localization to cell periphery                    5     282      4.5  5.8e-03    1.1e-02
GO:0002637   regulation of immunoglobulin production                   3      89      8.5  5.9e-03    1.2e-02
GO:0010611   regulation of cardiac muscle hypertrophy                  3      90      8.4  6.0e-03    1.2e-02
GO:0044409   symbiont entry into host                                  3      90      8.4  6.0e-03    1.2e-02
GO:0046718   symbiont entry into host cell                             3      90      8.4  6.0e-03    1.2e-02
GO:0060042   retina morphogenesis in camera-type eye                   3      90      8.4  6.0e-03    1.2e-02
GO:0051174   regulation of phosphorus metabolic process                4     180      5.6  6.2e-03    1.2e-02
GO:0034103   regulation of tissue remodeling                           3      91      8.3  6.2e-03    1.2e-02
GO:0051402   neuron apoptotic process                                  3      91      8.3  6.2e-03    1.2e-02
GO:0002262   myeloid cell homeostasis                                  4     181      5.6  6.3e-03    1.2e-02
GO:2001235   positive regulation of apoptotic signaling pathway        4     181      5.6  6.3e-03    1.2e-02
GO:0008286   insulin receptor signaling pathway                        3      92      8.2  6.4e-03    1.3e-02
GO:0033143   regulation of intracellular steroid hormone receptor s    3      92      8.2  6.4e-03    1.3e-02
GO:0010948   negative regulation of cell cycle process                 5     290      4.3  6.4e-03    1.3e-02
GO:0032869   cellular response to insulin stimulus                     4     183      5.5  6.6e-03    1.3e-02
GO:0062012   regulation of small molecule metabolic process            6     414      3.6  6.6e-03    1.3e-02
GO:0003407   neural retina development                                 3      93      8.1  6.6e-03    1.3e-02
GO:0014743   regulation of muscle hypertrophy                          3      93      8.1  6.6e-03    1.3e-02
GO:0045670   regulation of osteoclast differentiation                  3      93      8.1  6.6e-03    1.3e-02
GO:0099565   chemical synaptic transmission, postsynaptic              3      93      8.1  6.6e-03    1.3e-02
GO:0090257   regulation of muscle system process                       5     292      4.3  6.6e-03    1.3e-02
GO:1903169   regulation of calcium ion transmembrane transport         4     184      5.5  6.7e-03    1.3e-02
GO:0007626   locomotory behavior                                       5     293      4.3  6.7e-03    1.3e-02
GO:0048167   regulation of synaptic plasticity                         6     419      3.6  7.0e-03    1.3e-02
GO:0097553   calcium ion transmembrane import into cytosol             3      95      7.9  7.0e-03    1.4e-02
GO:0032386   regulation of intracellular transport                     5     296      4.2  7.0e-03    1.4e-02
GO:0002831   regulation of response to biotic stimulus                 8     698      2.9  7.1e-03    1.4e-02
GO:0051250   negative regulation of lymphocyte activation              4     187      5.4  7.1e-03    1.4e-02
GO:0019229   regulation of vasoconstriction                            3      96      7.9  7.2e-03    1.4e-02
GO:0050871   positive regulation of B cell activation                  3      96      7.9  7.2e-03    1.4e-02
GO:0140962   multicellular organismal-level chemical homeostasis       3      96      7.9  7.2e-03    1.4e-02
GO:0006816   calcium ion transport                                     5     299      4.2  7.3e-03    1.4e-02
GO:0022412   cellular process involved in reproduction in multicell    7     560      3.1  7.4e-03    1.4e-02
GO:0014823   response to activity                                      3      98      7.7  7.6e-03    1.4e-02
GO:0032943   mononuclear cell proliferation                            3      98      7.7  7.6e-03    1.4e-02
GO:0071453   cellular response to oxygen levels                        4     191      5.3  7.6e-03    1.4e-02
GO:0050778   positive regulation of immune response                    9     859      2.6  7.6e-03    1.4e-02
GO:0051492   regulation of stress fiber assembly                       3      99      7.6  7.8e-03    1.4e-02
GO:0060047   heart contraction                                         3     100      7.5  8.0e-03    1.4e-02
GO:2000045   regulation of G1/S transition of mitotic cell cycle       4     194      5.2  8.0e-03    1.4e-02
GO:1901992   positive regulation of mitotic cell cycle phase transi    3     101      7.5  8.2e-03    1.5e-02
GO:0046903   secretion                                                 7     573      3.1  8.4e-03    1.5e-02
GO:0002711   positive regulation of T cell mediated immunity           3     102      7.4  8.4e-03    1.5e-02
GO:0046626   regulation of insulin receptor signaling pathway          3     102      7.4  8.4e-03    1.5e-02
GO:0032940   secretion by cell                                         6     438      3.4  8.5e-03    1.5e-02
GO:0032008   positive regulation of TOR signaling                      3     103      7.3  8.7e-03    1.5e-02
GO:0019730   antimicrobial humoral response                            4     199      5.1  8.7e-03    1.6e-02
GO:0022607   cellular component assembly                              25    3873      1.6  9.1e-03    1.6e-02
GO:0031348   negative regulation of defense response                   5     316      4.0  9.1e-03    1.6e-02
GO:2001242   regulation of intrinsic apoptotic signaling pathway       4     202      5.0  9.2e-03    1.6e-02
GO:0043954   cellular component maintenance                            3     106      7.1  9.4e-03    1.7e-02
GO:0009896   positive regulation of catabolic process                  7     587      3.0  9.4e-03    1.7e-02
GO:0032677   regulation of interleukin-8 production                    3     107      7.1  9.6e-03    1.7e-02
GO:1903531   negative regulation of secretion by cell                  4     206      4.9  9.8e-03    1.7e-02
GO:0021766   hippocampus development                                   3     109      6.9  1.0e-02    1.8e-02
GO:0031400   negative regulation of protein modification process       5     326      3.9  1.0e-02    1.8e-02
GO:0003015   heart process                                             3     110      6.9  1.0e-02    1.8e-02
GO:0001776   leukocyte homeostasis                                     3     111      6.8  1.1e-02    1.9e-02
GO:0046425   regulation of receptor signaling pathway via JAK-STAT     3     112      6.7  1.1e-02    1.9e-02
GO:0007043   cell-cell junction assembly                               3     113      6.7  1.1e-02    1.9e-02
GO:0110020   regulation of actomyosin structure organization           3     113      6.7  1.1e-02    1.9e-02
GO:0043547   positive regulation of GTPase activity                    3     114      6.6  1.1e-02    2.0e-02
GO:1900076   regulation of cellular response to insulin stimulus       3     114      6.6  1.1e-02    2.0e-02
GO:0008344   adult locomotory behavior                                 3     115      6.6  1.2e-02    2.0e-02
GO:0002695   negative regulation of leukocyte activation               4     217      4.6  1.2e-02    2.0e-02
GO:0072659   protein localization to plasma membrane                   4     217      4.6  1.2e-02    2.0e-02
GO:0007612   learning                                                  4     218      4.6  1.2e-02    2.0e-02
GO:1902806   regulation of cell cycle G1/S phase transition            4     218      4.6  1.2e-02    2.0e-02
GO:0070661   leukocyte proliferation                                   3     117      6.5  1.2e-02    2.0e-02
GO:0062013   positive regulation of small molecule metabolic proces    4     220      4.6  1.2e-02    2.0e-02
GO:0031667   response to nutrient levels                               7     618      2.8  1.2e-02    2.0e-02
GO:0009100   glycoprotein metabolic process                            5     341      3.7  1.2e-02    2.0e-02
GO:0002366   leukocyte activation involved in immune response          4     221      4.6  1.2e-02    2.1e-02
GO:0051668   localization within membrane                              7     624      2.8  1.3e-02    2.1e-02
GO:0010660   regulation of muscle cell apoptotic process               3     120      6.3  1.3e-02    2.1e-02
GO:0032231   regulation of actin filament bundle assembly              3     120      6.3  1.3e-02    2.1e-02
GO:0043502   regulation of muscle adaptation                           3     120      6.3  1.3e-02    2.1e-02
GO:0051952   regulation of amine transport                             3     120      6.3  1.3e-02    2.1e-02
GO:1901989   positive regulation of cell cycle phase transition        3     120      6.3  1.3e-02    2.1e-02
GO:0002263   cell activation involved in immune response               4     225      4.5  1.3e-02    2.2e-02
GO:0045732   positive regulation of protein catabolic process          4     227      4.4  1.4e-02    2.2e-02
GO:0050796   regulation of insulin secretion                           4     227      4.4  1.4e-02    2.2e-02
GO:0070588   calcium ion transmembrane transport                       4     227      4.4  1.4e-02    2.2e-02
GO:0046928   regulation of neurotransmitter secretion                  3     123      6.1  1.4e-02    2.3e-02
GO:1902106   negative regulation of leukocyte differentiation          3     123      6.1  1.4e-02    2.3e-02
GO:0043279   response to alkaloid                                      3     124      6.1  1.4e-02    2.3e-02
GO:1901135   carbohydrate derivative metabolic process                 9     952      2.4  1.4e-02    2.3e-02
GO:1903900   regulation of viral life cycle                            3     125      6.0  1.4e-02    2.4e-02
GO:1903707   negative regulation of hemopoiesis                        3     127      5.9  1.5e-02    2.5e-02
GO:0008217   regulation of blood pressure                              4     242      4.2  1.7e-02    2.6e-02
GO:0140352   export from cell                                          6     511      3.0  1.7e-02    2.7e-02
GO:0007596   blood coagulation                                         3     134      5.6  1.7e-02    2.7e-02
GO:0050817   coagulation                                               3     134      5.6  1.7e-02    2.7e-02
GO:0044085   cellular component biogenesis                            25    4095      1.5  1.8e-02    2.7e-02
GO:0016485   protein processing                                        4     247      4.1  1.8e-02    2.8e-02
GO:0034765   regulation of monoatomic ion transmembrane transport      5     376      3.3  1.8e-02    2.8e-02
GO:0003073   regulation of systemic arterial blood pressure            3     136      5.5  1.8e-02    2.8e-02
GO:0051701   biological process involved in interaction with host      3     136      5.5  1.8e-02    2.8e-02
