==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0045766   positive regulation of angiogenesis                      18     193     23.5  3.6e-19    5.7e-18
GO:0051050   positive regulation of transport                         32    1101      7.3  5.4e-19    8.4e-18
GO:0048660   regulation of smooth muscle cell proliferation           18     198     22.9  5.5e-19    8.6e-18
GO:0044093   positive regulation of molecular function                25     565     11.1  6.0e-19    9.3e-18
GO:0061061   muscle structure development                             25     567     11.1  6.5e-19    1.0e-17
GO:0001657   ureteric bud development                                 15     101     37.4  6.7e-19    1.0e-17
GO:0090596   sensory organ morphogenesis                              21     339     15.6  8.3e-19    1.3e-17
GO:0090287   regulation of cellular response to growth factor stimu   21     340     15.5  8.8e-19    1.4e-17
GO:0001701   in utero embryonic development                           25     577     10.9  9.6e-19    1.5e-17
GO:0030307   positive regulation of cell growth                       18     205     22.1  9.8e-19    1.5e-17
GO:0072163   mesonephric epithelium development                       15     105     35.9  1.1e-18    1.7e-17
GO:0072164   mesonephric tubule development                           15     105     35.9  1.1e-18    1.7e-17
GO:0003006   developmental process involved in reproduction           33    1228      6.8  1.3e-18    2.0e-17
GO:0009611   response to wounding                                     23     462     12.5  1.5e-18    2.3e-17
GO:0090066   regulation of anatomical structure size                  25     604     10.4  2.7e-18    4.1e-17
GO:0033993   response to lipid                                        31    1076      7.2  2.7e-18    4.1e-17
GO:0018108   peptidyl-tyrosine phosphorylation                        14      85     41.4  2.8e-18    4.2e-17
GO:0051057   positive regulation of small GTPase mediated signal tr   14      86     41.0  3.3e-18    4.8e-17
GO:0060326   cell chemotaxis                                          18     222     20.4  3.7e-18    5.4e-17
GO:0014032   neural crest cell development                            14      87     40.5  3.8e-18    5.6e-17
GO:0003151   outflow tract morphogenesis                              14      88     40.0  4.4e-18    6.4e-17
